review,guest_satisfaction_overall,accuracy_rating,cleanliness_rating,location_rating,value_rating,new_price,log_price
6,100,10,10,10,10,343.3333435058594,1.74215829372406
31,89,9,8,8,9,55,-1.0778594017028809
31,89,9,8,8,9,55,-1.0778594017028809
32,88,9,8,8,9,55,-1.0778594017028809
32,85,9,8,8,9,60,-0.9438757300376892
32,85,9,8,8,9,65,-0.820622444152832
32,85,9,8,8,9,65,-0.820622444152832
33,84,9,8,8,9,65,-0.820622444152832
33,84,9,8,8,9,65,-0.820622444152832
34,85,9,8,8,9,65,-0.820622444152832
34,85,9,8,8,9,65,-0.820622444152832
13,94,9,9,9,10,62,-0.8933847546577454
13,94,9,9,9,10,63,-0.8687468767166138
13,94,9,9,9,10,62,-0.8933847546577454
13,94,9,9,9,10,61,-0.9184235334396362
13,94,9,9,9,10,61,-0.9184235334396362
14,98,9,9,9,10,62,-0.8933847546577454
14,98,9,9,9,10,51,-1.194129228591919
14,98,9,9,9,10,60,-0.9438757300376892
16,97,9,8,9,9,50,-1.224622130393982
16,97,9,8,9,9,50,-1.224622130393982
16,97,9,8,9,9,49,-1.2557313442230225
16,97,9,8,9,9,48,-1.2874815464019775
16,97,9,8,9,9,48,-1.2874815464019775
16,97,9,8,9,9,45,-1.3868606090545654
17,97,9,8,9,9,45,-1.3868606090545654
17,97,9,8,9,9,45,-1.3868606090545654
17,97,9,8,9,9,45,-1.3868606090545654
17,97,9,8,9,9,47,-1.319900631904602
17,97,9,8,9,9,55,-1.0778594017028809
17,97,9,8,9,9,54,-1.1061142683029177
11,85,8,8,9,8,107.5,-0.04592299461364746
13,82,8,8,9,8,108.66666412353516,-0.02930169366300106
14,80,8,8,9,8,107.5,-0.04592299461364746
16,79,8,8,9,8,106.5,-0.0603136345744133
17,79,8,8,9,8,107.5,-0.04592299461364746
17,79,8,8,9,8,105.5,-0.07484085112810135
17,79,8,8,9,8,104.5,-0.08950609713792801
17,79,8,8,9,8,102.5,-0.1192624643445015
17,79,8,8,9,8,104.5,-0.08950609713792801
17,79,8,8,9,8,101.5,-0.1343587189912796
17,79,8,8,9,8,99.5,-0.16500353813171387
17,79,8,8,9,8,98.5,-0.180557981133461
17,79,8,8,9,8,92.33333587646484,-0.28011029958724976
19,80,8,8,9,8,93.33333587646484,-0.26352351903915405
19,80,8,8,9,8,93.33333587646484,-0.26352351903915405
21,82,8,8,9,8,93.33333587646484,-0.26352351903915405
25,83,8,8,9,8,95.33333587646484,-0.2308749109506607
27,84,8,8,10,8,95.33333587646484,-0.2308749109506607
82,90,9,9,8,9,42,-1.4930986166000366
82,90,9,9,8,9,42,-1.4930986166000366
83,91,9,9,8,9,42,-1.4930986166000366
84,91,9,9,8,9,42,-1.4930986166000366
84,90,9,9,8,9,42,-1.4930986166000366
84,90,9,9,8,9,42,-1.4930986166000366
85,90,9,9,8,9,37,-1.6882765293121338
85,90,9,9,8,9,37,-1.6882765293121338
86,90,9,9,8,9,37,-1.6882765293121338
86,90,9,9,8,9,37,-1.6882765293121338
87,90,9,9,8,9,37,-1.6882765293121338
87,90,9,9,8,9,32,-1.911833643913269
87,90,9,9,8,9,32,-1.911833643913269
88,90,9,9,8,9,34,-1.8184814453125
88,90,9,9,8,9,37,-1.6882765293121338
88,90,9,9,8,9,37,-1.6882765293121338
89,90,9,9,8,9,37,-1.6882765293121338
89,90,9,9,8,9,37,-1.6882765293121338
40,97,10,9,10,10,76,-0.579874575138092
41,97,10,9,10,10,77,-0.559745728969574
42,97,10,9,10,10,76,-0.579874575138092
42,97,10,9,10,10,75,-0.6002699136734009
44,98,10,9,10,10,76,-0.579874575138092
44,98,10,9,10,10,74,-0.6209391951560974
45,98,10,9,10,10,72,-0.6631293892860413
46,98,10,9,10,10,73,-0.6418896317481995
49,97,10,9,10,10,71,-0.6846657991409302
49,97,10,9,10,10,70,-0.7065083980560303
49,97,10,9,10,10,69,-0.7286644577980042
49,97,10,9,10,10,65,-0.820622444152832
53,97,10,9,10,10,66,-0.7971130609512329
53,97,10,9,10,10,66,-0.7971130609512329
55,97,10,9,10,10,66,-0.7971130609512329
56,97,10,9,10,10,68,-0.7511444091796875
58,97,10,9,10,10,67,-0.7739568948745728
60,97,10,9,10,10,67,-0.7739568948745728
16,90,9,9,10,8,111,0.0034129845444113
17,90,9,9,10,8,110,-0.01052241772413253
19,91,9,9,10,8,108,-0.03877723962068558
19,90,9,9,10,8,108,-0.03877723962068558
21,90,9,9,10,8,109,-0.02458484657108783
25,91,9,9,10,8,107,-0.053101796656847
26,91,9,9,10,8,105,-0.0821562185883522
9,97,10,10,9,10,165.6666717529297,0.6200385689735413
9,97,10,10,9,10,169.1666717529297,0.6522319316864014
9,97,10,10,9,10,166.8333282470703,0.6308445930480957
9,97,10,10,9,10,164.5,0.6091561913490295
9,97,10,10,9,10,164.5,0.6091561913490295
9,97,10,10,9,10,165.6666717529297,0.6200385689735413
9,97,10,10,9,10,209.1666717529297,0.979058563709259
10,98,10,10,9,10,206,0.9555675983428956
10,98,10,10,9,10,203.6666717529297,0.938027024269104
10,98,10,10,9,10,205.8333282470703,0.954321563243866
10,98,10,10,9,10,179.8333282470703,0.7463867664337158
10,98,10,10,9,10,177.6666717529297,0.7277220487594604
11,98,10,10,9,10,168.6666717529297,0.6476736664772034
11,98,10,10,9,10,168.5,0.646151602268219
11,98,10,10,9,10,167.5,0.636985182762146
11,98,10,10,9,10,173.1666717529297,0.6882176995277405
13,98,10,10,9,10,171.8333282470703,0.6763154864311218
20,96,10,10,10,9,157,0.5372999310493469
20,96,10,10,10,9,156,0.5274609327316284
21,96,10,10,10,9,156,0.5274609327316284
23,96,10,10,10,10,153,0.49755990505218506
24,95,10,9,10,9,151,0.47729817032814026
25,95,10,9,10,9,151,0.47729817032814026
25,95,10,9,10,9,147,0.43595823645591736
26,96,10,9,10,9,144,0.40420761704444885
26,96,10,9,10,9,143,0.3934772312641144
2,100,10,10,10,10,213.1666717529297,1.0082275867462158
3,96,10,10,9,9,240,1.190798282623291
4,96,10,10,9,10,228.3333282470703,1.114064335823059
4,96,10,10,9,10,226.1666717529297,1.099382996559143
4,96,10,10,9,10,226.1666717529297,1.099382996559143
4,96,10,10,9,10,227.1666717529297,1.106176257133484
4,95,10,10,9,10,223,1.077670335769653
4,95,10,10,9,10,219.8333282470703,1.0556471347808838
4,95,10,10,9,10,217.5,1.0392160415649414
4,95,10,10,9,10,219.6666717529297,1.054479718208313
4,95,10,10,9,10,197.3333282470703,0.8893827199935913
5,96,10,10,9,10,204.3333282470703,0.9430588483810424
5,96,10,10,9,10,227.3333282470703,1.1073055267333984
42,90,9,8,8,9,30,-2.0112128257751465
42,90,9,8,8,9,30,-2.0112128257751465
43,89,9,8,8,9,30,-2.0112128257751465
44,85,9,8,8,9,30,-2.0112128257751465
47,85,9,8,8,9,32,-1.911833643913269
47,85,9,8,8,9,32,-1.911833643913269
48,86,9,8,8,9,33,-1.8644500970840456
49,86,9,8,8,9,33,-1.8644500970840456
50,86,9,8,8,9,33,-1.8644500970840456
50,86,9,8,8,9,33,-1.8644500970840456
50,86,9,8,8,9,33,-1.8644500970840456
50,86,9,8,8,9,33,-1.8644500970840456
50,86,9,8,8,9,33,-1.8644500970840456
50,86,9,8,8,9,30,-2.0112128257751465
50,86,9,8,8,9,30,-2.0112128257751465
50,86,9,8,8,9,30,-2.0112128257751465
50,86,9,8,8,9,30,-2.0112128257751465
9,92,9,9,10,9,185.8333282470703,0.7969239950180054
9,92,9,9,10,9,189.1666717529297,0.8242999315261841
9,92,9,9,10,9,185.8333282470703,0.7969239950180054
9,92,9,9,10,9,184.6666717529297,0.787226676940918
9,91,9,9,10,9,183.6666717529297,0.7788650393486023
9,91,9,9,10,9,184.8333282470703,0.7886151671409607
9,91,9,9,10,9,181.5,0.7605924010276794
9,91,9,9,10,9,179.3333282470703,0.7420994639396667
9,91,9,9,10,9,177.1666717529297,0.7233825922012329
9,91,9,9,10,9,179.3333282470703,0.7420994639396667
9,91,9,9,10,9,174.8333282470703,0.7029674053192139
9,91,9,9,10,9,171.6666717529297,0.6748212575912476
9,91,9,9,10,9,169.5,0.6552629470825195
9,91,9,9,10,9,158.5,0.5519416928291321
10,93,9,9,10,9,160.6666717529297,0.5728488564491272
10,93,9,9,10,9,160.6666717529297,0.5728488564491272
10,93,9,9,10,9,160.6666717529297,0.5728488564491272
11,93,9,9,10,9,166.1666717529297,0.6246790885925293
12,94,9,9,10,9,164,0.6044687628746033
12,94,9,9,10,9,164,0.6044687628746033
14,92,9,9,10,9,166.8333282470703,0.6308445930480957
14,92,9,9,10,9,170.1666717529297,0.6613073348999023
15,87,8,9,9,9,166.8333282470703,0.6308445930480957
15,83,8,9,9,9,165.6666717529297,0.6200385689735413
15,80,8,9,9,9,165.6666717529297,0.6200385689735413
16,80,8,9,9,9,165.8333282470703,0.6215870976448059
16,80,8,9,9,9,163.5,0.5997673273086548
16,80,8,9,9,9,161.3333282470703,0.5792250633239746
17,82,9,9,9,9,159.1666717529297,0.558405339717865
17,82,9,9,9,9,161.3333282470703,0.5792250633239746
17,82,9,9,9,9,156.8333282470703,0.5356640219688416
17,82,9,9,9,9,153.6666717529297,0.5042548179626465
17,82,9,9,9,9,152.5,0.4925192594528198
17,82,9,9,9,9,142.5,0.38808339834213257
17,82,9,9,9,9,143.6666717529297,0.400639146566391
17,82,9,9,9,9,143.6666717529297,0.400639146566391
18,83,9,9,9,9,149.1666717529297,0.458488792181015
18,83,9,9,9,9,147,0.43595823645591736
18,83,9,9,9,9,147,0.43595823645591736
9,73,7,6,9,8,236.8333282470703,1.170345664024353
9,73,7,6,9,8,242.1666717529297,1.2046375274658203
9,73,7,6,9,8,237.8333282470703,1.1768335103988647
9,73,7,6,9,8,235.6666717529297,1.1627416610717771
9,73,7,6,9,8,235.6666717529297,1.1627416610717771
9,64,7,6,9,8,236.6666717529297,1.1692619323730469
9,64,7,6,9,8,232.3333282470703,1.1408058404922483
9,64,7,6,9,8,229.1666717529297,1.1196740865707395
9,64,7,6,9,8,225.8333282470703,1.0971119403839111
9,64,7,6,9,8,229,1.118553638458252
9,64,7,6,9,8,222.5,1.074214220046997
9,64,7,6,9,8,148.1666717529297,0.4481306672096253
9,64,7,6,9,8,147.1666717529297,0.43770280480384827
9,64,7,6,9,8,137.8333282470703,0.33681192994117737
9,64,7,6,9,8,140.1666717529297,0.36266061663627625
9,64,7,6,9,8,139.1666717529297,0.35163578391075134
9,64,7,6,9,8,139,0.3497906029224396
9,64,7,6,9,8,143.6666717529297,0.400639146566391
12,71,7,7,9,8,142.5,0.38808339834213257
3,80,8,7,9,8,261.1666564941406,1.3209455013275146
3,80,8,7,9,8,256.8333435058594,1.2951819896697998
3,60,8,7,9,8,253.6666717529297,1.276078224182129
4,50,8,5,9,7,255.6666717529297,1.288171410560608
4,50,8,5,9,7,251.3333282470703,1.2618483304977417
4,50,8,5,9,7,247.1666717529297,1.2361061573028564
4,50,8,5,9,7,243.8333282470703,1.215198278427124
4,50,8,5,9,7,247,1.2350679636001587
4,50,8,5,9,7,240.5,1.194002628326416
4,50,8,5,9,7,236.1666717529297,1.1660047769546509
4,50,8,5,9,7,234.1666717529297,1.152909278869629
4,50,8,5,9,7,217.8333282470703,1.041574478149414
4,50,8,5,9,7,222.1666717529297,1.0719057321548462
4,50,8,5,9,7,139.1666717529297,0.35163578391075134
5,56,9,6,9,8,139,0.3497906029224396
5,56,9,6,9,8,143.6666717529297,0.400639146566391
7,63,9,6,9,8,142.5,0.38808339834213257
47,84,9,9,9,9,85.16666412353516,-0.40452226996421814
53,91,9,9,10,9,128,0.2228403240442276
